id;nome;email;idade;data_nascimento
1;Música Singapura;Helosa10@hotmail.com;91334;2021-06-27
2;solution Concreto;Helena6@bol.com.br;43662;2021-06-27
3;Salsicha scalable bottom-line;Hugo41@yahoo.com;14603;2021-06-27
4;Alameda transmit Algodão;Lucas85@bol.com.br;62055;2021-06-27
5;innovate digital Central;MariaHelena.Batista@hotmail.com;56424;2021-06-27
6;fúchsia Direct systems;Antonella.Souza@gmail.com;40512;2021-06-27
7;Dominicana Bicicleta;Vctor.Pereira@yahoo.com;58940;2021-06-27
8;impactful Industrial;Hlio_Martins@yahoo.com;74907;2021-06-27
9;firewall compressing;Fabrcia_Souza28@gmail.com;44312;2021-06-27
10;Intranet Uruguai;Jlio.Batista83@gmail.com;41835;2021-06-27
